date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-04 05:51:14+00:00,1.62175E+18,"General Pype - Clear Road | https://t.co/N6eXSivKbo

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 05:39:25+00:00,1.62175E+18,"@tallbertmaangi Having a convo with various brands that sponsor MUFC.
How to mitigate backlash when he is back.
How to discipline him internally. Maybe make him train with the u23 for some time.
Worst scenario - Working on a mutual basis to terminate his contract.
#greenwoodOUT",NYAANGAR,0,0,0,0,2,4,5,2023
2023-02-04 05:39:17+00:00,1.62175E+18,"I say he's doing image damage control they're saying I'm lying... If you know you know 😂
#BurnaBoy #CommonPerson #BBTaitans #uniben #greenwoodOUT ""#EUNCHAE_MusicBank https://t.co/sfmFgglEKp",yellowbelle69,5,0,1,0,2,4,5,2023
2023-02-04 05:38:40+00:00,1.62175E+18,"Show Dem Camp Ft. Wurld &amp; M.anifest - Bad Design

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,1,1,0,0,2,4,5,2023
2023-02-04 05:32:12+00:00,1.62174E+18,"Yesterday we went to full blue again ✅
 Good luck to those who evaluate 🙏
 Enough for today..

Join to get more amazing trades everyday ✅
https://t.co/9hpOOJvjVC

#LeeJaeWook #greenwoodOUT #BenidormFest2023 #หมอกินคนไข้ #oneสนั่นจอ2023 #fridaymorning #FX初心者 #FXS #fx https://t.co/807EnJnzop",Jessicakim016,1,0,0,0,2,4,5,2023
2023-02-04 05:21:15+00:00,1.62174E+18,"Tiwa Savage Ft. Asake - Loaded 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 05:20:05+00:00,1.62174E+18,VOXPOP ON THE CURRENT CASH SCARCITY WITH SHOETAN TV📺 #greenwoodOUT #BBTitians https://t.co/JlgxZC2rFx,Dapo_TMG,0,1,0,0,2,4,5,2023
2023-02-04 05:04:02+00:00,1.62174E+18,"Sarkodie - Labadi (feat. King Promise) 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 04:59:27+00:00,1.62174E+18,"I’m selling my 2x tickets for Everton Vs Arsenal for tomorrow EPL game, gutted I will be unable to attend the game, anyone interested in buying them DM me, thanks!! #EVEARS #Arteta #Saliba #Martinelli #greenwoodOUT #Auba #arsenalspares #arsenaltickets #Odegaard #Partey #Enzo",C_garyAFC,1,1,0,1,2,4,5,2023
2023-02-04 04:21:09+00:00,1.62173E+18,"DJ Tunez Ft. Wizkid, Alpha P &amp; Tay Iwar - Majo 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 04:07:27+00:00,1.62172E+18,"पहेली solve करो और सोना जीतो

#comedy #KnockAtTheCabin #greenwoodOUT https://t.co/C04vaCEcmw",VivekVermaa01,0,0,0,0,2,4,5,2023
2023-02-04 03:50:49+00:00,1.62172E+18,"بہار شجر کاری مہم 2023
خیبر پختونخوا کے میدانی علاقوں میں موسم بہار شجرکاری مہم کا آغاز

شجرکاری مہم کے تحت ایک کروڑ سے زائد پودے لگائے جائینگے۔
#KPSpringPlantation2023 #greenwoodOUT 
#ChineseSpyBalloon #famemma #หมอกินคนไข้ https://t.co/GaIrAeIBfP",PathaniSehrish,6,4,0,0,2,4,5,2023
2023-02-04 03:18:07+00:00,1.62171E+18,"Phyno Ft. Tekno - Full Current (That’s My Baby) 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 02:42:36+00:00,1.6217E+18,I’m tired seeing this #greenwoodOUT 💔💔💔💔,_Wilson_19,0,0,0,0,2,4,5,2023
2023-02-04 02:27:20+00:00,1.6217E+18,"My first song of the year “GINGER ME” 🌹 
Feb 13th 🚨 🔊

I hope y’all ready??

#Thalapathy67TitleReveal #ToMe  #emmcywix #gingerme #greenwoodOUT https://t.co/vfxr2GvjPt",Emmcywix1,5,1,0,0,2,4,5,2023
2023-02-04 01:24:22+00:00,1.62168E+18,idc what you say he wasnt proven innocent get this man as far away from our club as possible disgusting #greenwoodOUT,ciro406,0,0,3,0,2,4,5,2023
2023-02-04 01:16:18+00:00,1.62168E+18,"KORRA OBIDI VIBING TO RUGER SONG 👉ASIWAJU
https://t.co/YZwTt46qBT

 #greenwoodOUT",AllAbuja,0,0,0,0,2,4,5,2023
2023-02-04 01:04:48+00:00,1.62168E+18,If greenwood scores don’t celebrate🌚🌚 🤡#greenwoodOUT,Tyson_Lyon_,0,0,0,0,2,4,5,2023
2023-02-04 01:04:08+00:00,1.62168E+18,"Selamat pagi....! Semoga harimu Sabtu terus!
#Thalapathy67TitleReveal #ขอโทษบิวจักรพันธ์ #greenwoodOUT",rasyidin_yusuf,1,0,0,0,2,4,5,2023
2023-02-04 00:52:24+00:00,1.62167E+18,Keep that man away from our club @ManUtd #greenwoodOUT,nat90HJ,0,0,2,0,2,4,5,2023
2023-02-04 00:50:33+00:00,1.62167E+18,Football Twitter is so immoral and spineless that it’s becoming embarrassing to even tweet about football #greenwoodOUT,himbofuckerswag,6,0,0,0,2,4,5,2023
2023-02-04 00:49:45+00:00,1.62167E+18,"#greenwoodOUT and its not even worth the debate. 

He will never be worthy of wearing the shirt again.",TeamPolar17,1,0,0,0,2,4,5,2023
